Ad title,Keywords
database administrator,my-sql|database
back-end developer,back-end|type-script|nodejs|rest-full-api
junior back-end developer,mongo-db|nodejs|nginx|micro-service
full-stack developer,asp.net|microsoft-sql-server|c#|full-stack|linq
senior java developer,rest-full-api|postgre-sql|nosql|json|soap|redis|database|java
front-end developer,css|jquery|front-end|java-script|git|html
ios developer,swift|xcode|sqlite|imap
senior devops engineer,django|ansible|linux|python
Technical support expert,hosting-support|linux|whmcs|technical-support|network+
senior php developer,symfony|soa|object-oriented-programing|php
senior back-end developer,yii|sql|laravel|php
senior technical expert,documenting|cto|python|scrum|technical-management
product-designer,illustrator|adobe
network developer,network|data-storage|virtualization|elastic-search|dns|cisco|voip|mitel|dhcp
Delphi's developer,server|delphi|object-oriented-programing|sql
front-end developr,css|front-end|java-script|responsive-design|react-redux|react.js|html
full-stack developer,css|front-end|python|full-stack|php|html
php developer,object-oriented-programing|laravel|my-sql|php|mvc
junior laravel developer,laravel|rest-full-api|back-end|bootstrap|git
front-end developer,css|front-end|java-script|bootstrap|html
C ++  developer,qt|linux|c++
senior go developer,kafka|web-socket|go-lang|data-structure|apache
ios developer,ios|swift|xcode|mvvm
senior artificial intelligence expert,tensorflow|matlab|python|weka
back-end developer,mongo-db|microsoft-sql-server|java-script|nodejs|sql
back-end developer,back-end|redis|c#|postgre-sql
Technical Director BACK END,seo|google-ad
android developer,android|java|kotlin
bi expert,power-bi|testsql
devops engineer,devops|git|unit-testing|puppet
android developer,ux|android|blockchain|git|java|kotlin
android developer,git|english|android|kotlin
back-end developer,back-end|java|jpa|sql
wordpress developer,css|jquery|wordpress|java|html
senior system analysis expert,analysing|bpmn|uml
senior web developer,css|php|react.js|sass|html
senior devops engineer,kubernetes|linux|elastic-search|docker|stack
senior c# developer,entity-framework|mvc|asp.net|identity-server
senior back-end developer,my-sql|rest-full-api|php
it support expert,wordpress|seo|site-management
network and security expert,ccna|network-security|network|ccnp
linux expert,ssl|linux|cent-os|network-security|firewall
network expert,network|passive-network|hardware|dns|dhcp|active-network
network expert,network+|network|mcse
software product manager,strategic-planning|product-management|backlog|production
hardware and network support expert,virtualization|passive|mtcna|mtcwe|network-support|achive|ccna|hardware-support|voip
Master of IT,it
java and mobile developer,android|spring|java|mobile-programming
ios developer,ios|swift|design-pattern
Technical support expert,cto|design-pattern|java-script|pwa|nodejs|react.js|technical-management|agile
php developer,php
scrum master,scrum|agile
sql developer,sql
junior front-end developer,git|sass|routing|react.js|react-redux
senior front-end developer,ssr|css|java-script|nodejs|react.js
django developer,python|django|rest-full-api
junior javascript developer,css|next.js|ajax|java-script|html
senior front-end developer,ssr|next.js|react-hook|react-redux|react.js
senior block chain developer,hierarchical|solidity|c#|c++|blockchain
senior back-end developer,jquery|asp.net|microsoft-sql-server|c#|dapper|mvc
artificial intelligence expert,ai|deep-learning|computer-science
android developer,android|json|rest-full-api|android-sdk
senior wordpress developer,css|wordpress|woocommerce|java-script|html
full-stack developer,object-oriented-programing|laravel|jquery|mvp|my-sql|java-script|full-stack|bootstrap|git|html
laravel developer,git|my-sql|laravel|rest-full-api
front-end developer,vue.js|css|front-end|es6|java-script|react.js|html
php developer,laravel|rest-full-api|my-sql|bootstrap|php
cloud engineer,bash|ci|linux|python|cd
laravel developer,object-oriented-programing|css|laravel|rest-full-api|java-script|bootstrap|php|git|mvc|html
senior mobile developer,android-sdk|ios|android|android-studio|objective-c|swift
web developer,entity-framework|object-oriented-programing|web-programming|css|asp.net|microsoft-sql-server|java-script|mvc|html
back-end developer,graphql|go-lang|rest-full-api|back-end|micro-service|haproxy|json
laravel developer,java-script|rest-full-api|laravel|php
Java programmer,agile|linux|scrum|git|react.js|java
.net developer,asp.net|c#|server|core|sql|git
.net developer,asp.net|c#|server|core|sql|redis
back-end developer,css|linux|python|java-script|svn|git|html
java developer,object-oriented-programing|java-spring|unit-testing|my-sql|docker|oracle|java
python data export,css|python|vs-code|json|git|html
nodejs developer,object-oriented-programing|css|postgre-sql|my-sql|java-script|nodejs|html
ui/ux designer,prototyping|wireframing|storyboard
android developer,mvvm|ui|rest-full-api|ux|mvp|android-studio|design-pattern|git|java
front-end developer,css|type-script|java-script|git|react.js|html
